"StichtagDatJahr","QuarSort","QuarLang","AnzBestWir"
1986,71,"Fluntern",7405
1985,71,"Fluntern",7448
1984,71,"Fluntern",7504
1983,71,"Fluntern",7653
1982,71,"Fluntern",7748
1981,71,"Fluntern",7944
1980,71,"Fluntern",7988
1979,71,"Fluntern",8135
1978,71,"Fluntern",8130
1977,71,"Fluntern",8243
1976,71,"Fluntern",8265
1975,71,"Fluntern",8355
1974,71,"Fluntern",8548
1973,71,"Fluntern",8715
1972,71,"Fluntern",8807
1971,71,"Fluntern",8943
1970,71,"Fluntern",8991
2016,63,"Oberstrass",10794
2015,63,"Oberstrass",10641
2014,63,"Oberstrass",10556
2013,63,"Oberstrass",10452
2012,63,"Oberstrass",10308
2011,63,"Oberstrass",10316
2010,63,"Oberstrass",10231
2009,63,"Oberstrass",10051
2008,63,"Oberstrass",10102
2007,63,"Oberstrass",9960
2006,63,"Oberstrass",9698
2005,63,"Oberstrass",9494
2004,63,"Oberstrass",9546
2003,63,"Oberstrass",9689
2002,63,"Oberstrass",9725
2001,63,"Oberstrass",9764
2000,63,"Oberstrass",9864
1999,63,"Oberstrass",9897
1998,63,"Oberstrass",9907
1997,63,"Oberstrass",9994
1996,63,"Oberstrass",10110
1995,63,"Oberstrass",10121
1994,63,"Oberstrass",10266
1993,63,"Oberstrass",10154
1992,63,"Oberstrass",10248
1991,63,"Oberstrass",10292
1990,63,"Oberstrass",10262
1989,63,"Oberstrass",10026
1988,63,"Oberstrass",10098
1987,63,"Oberstrass",10239
1986,63,"Oberstrass",10240
1985,63,"Oberstrass",10296
1984,63,"Oberstrass",10454
1983,63,"Oberstrass",10452
1982,63,"Oberstrass",10544
1981,63,"Oberstrass",10589
1980,63,"Oberstrass",10665
1979,63,"Oberstrass",10985
1978,63,"Oberstrass",11065
1977,63,"Oberstrass",11233
1976,63,"Oberstrass",11326
1975,63,"Oberstrass",11536
1974,63,"Oberstrass",11894
1973,63,"Oberstrass",12239
1972,63,"Oberstrass",12315
1971,63,"Oberstrass",12089
1970,63,"Oberstrass",12381
2016,61,"Unterstrass",22476
2015,61,"Unterstrass",22226
2014,61,"Unterstrass",22126
2013,61,"Unterstrass",21876
2012,61,"Unterstrass",21442
2011,61,"Unterstrass",21240
2010,61,"Unterstrass",21233
2009,61,"Unterstrass",21080
2008,61,"Unterstrass",20655
2007,61,"Unterstrass",20243
2006,61,"Unterstrass",19959
2005,61,"Unterstrass",19921
2004,61,"Unterstrass",19742
2003,61,"Unterstrass",19882
2002,61,"Unterstrass",19863
2001,61,"Unterstrass",19831
2000,61,"Unterstrass",19933
1999,61,"Unterstrass",20083
1998,61,"Unterstrass",20266
1997,61,"Unterstrass",20281
1996,61,"Unterstrass",20318
1995,61,"Unterstrass",20356
1994,61,"Unterstrass",20477
1993,61,"Unterstrass",20425
1992,61,"Unterstrass",20300
1991,61,"Unterstrass",20335
1990,61,"Unterstrass",20301
1989,61,"Unterstrass",20253
1988,61,"Unterstrass",20279
1987,61,"Unterstrass",20336
1986,61,"Unterstrass",20459
1985,61,"Unterstrass",20687
1984,61,"Unterstrass",20847
1983,61,"Unterstrass",20886
1982,61,"Unterstrass",21235
1981,61,"Unterstrass",21462
1980,61,"Unterstrass",21830
1979,61,"Unterstrass",22189
1978,61,"Unterstrass",22510
1977,61,"Unterstrass",22867
1976,61,"Unterstrass",23145
1975,61,"Unterstrass",23758
1974,61,"Unterstrass",24411
1973,61,"Unterstrass",24820
1972,61,"Unterstrass",25448
1971,61,"Unterstrass",25748
1970,61,"Unterstrass",26482
2016,52,"Escher Wyss",5825
2015,52,"Escher Wyss",5457
2014,52,"Escher Wyss",4604
2013,52,"Escher Wyss",4010
2012,52,"Escher Wyss",3343
2011,52,"Escher Wyss",3129
2010,52,"Escher Wyss",3076
2009,52,"Escher Wyss",3060
2008,52,"Escher Wyss",2971
2007,52,"Escher Wyss",3008
2006,52,"Escher Wyss",2987
2005,52,"Escher Wyss",2727
2004,52,"Escher Wyss",2624
2003,52,"Escher Wyss",2465
2002,52,"Escher Wyss",2516
2001,52,"Escher Wyss",2133
2000,52,"Escher Wyss",1929
1999,52,"Escher Wyss",1953
1998,52,"Escher Wyss",1579
1997,52,"Escher Wyss",1622
1996,52,"Escher Wyss",1641
1995,52,"Escher Wyss",1649
1994,52,"Escher Wyss",1596
1993,52,"Escher Wyss",1547
1992,52,"Escher Wyss",1569
1991,52,"Escher Wyss",1587
1990,52,"Escher Wyss",1513
1989,52,"Escher Wyss",1473
1988,52,"Escher Wyss",1491
1987,52,"Escher Wyss",1463
1986,52,"Escher Wyss",1511
1985,52,"Escher Wyss",1512
1984,52,"Escher Wyss",1570
1983,52,"Escher Wyss",1614
1982,52,"Escher Wyss",1523
1981,52,"Escher Wyss",1460
1980,52,"Escher Wyss",1514
1979,52,"Escher Wyss",1475
1978,52,"Escher Wyss",1502
1977,52,"Escher Wyss",1551
1976,52,"Escher Wyss",1624
1975,52,"Escher Wyss",1631
1974,52,"Escher Wyss",1755
1973,52,"Escher Wyss",1783
1972,52,"Escher Wyss",1903
1971,52,"Escher Wyss",1982
1970,52,"Escher Wyss",2043
2016,51,"Gewerbeschule",9598
2015,51,"Gewerbeschule",9608
2014,51,"Gewerbeschule",9539
2013,51,"Gewerbeschule",9626
2012,51,"Gewerbeschule",9824
2011,51,"Gewerbeschule",9795
2010,51,"Gewerbeschule",9688
2009,51,"Gewerbeschule",9717
2008,51,"Gewerbeschule",9751
2007,51,"Gewerbeschule",9706
2006,51,"Gewerbeschule",9735
2005,51,"Gewerbeschule",9690
2004,51,"Gewerbeschule",9773
2003,51,"Gewerbeschule",9781
2002,51,"Gewerbeschule",9900
2001,51,"Gewerbeschule",9835
2000,51,"Gewerbeschule",9824
1999,51,"Gewerbeschule",9594
1998,51,"Gewerbeschule",9464
1997,51,"Gewerbeschule",9525
1996,51,"Gewerbeschule",9700
1995,51,"Gewerbeschule",9811
1994,51,"Gewerbeschule",9773
1993,51,"Gewerbeschule",9948
1992,51,"Gewerbeschule",9893
1991,51,"Gewerbeschule",10044
1990,51,"Gewerbeschule",9767
1989,51,"Gewerbeschule",9735
1988,51,"Gewerbeschule",9686
1987,51,"Gewerbeschule",9886
1986,51,"Gewerbeschule",9779
1985,51,"Gewerbeschule",9564
1984,51,"Gewerbeschule",9208
1983,51,"Gewerbeschule",9267
1982,51,"Gewerbeschule",9300
1981,51,"Gewerbeschule",9332
1980,51,"Gewerbeschule",9563
1979,51,"Gewerbeschule",9009
1978,51,"Gewerbeschule",8948
1977,51,"Gewerbeschule",9105
1976,51,"Gewerbeschule",9514
1975,51,"Gewerbeschule",10167
1974,51,"Gewerbeschule",10410
1973,51,"Gewerbeschule",10452
1972,51,"Gewerbeschule",10559
1971,51,"Gewerbeschule",10851
1970,51,"Gewerbeschule",11030
2016,44,"Hard",12891
2015,44,"Hard",13072
2014,44,"Hard",13232
2013,44,"Hard",13241
2012,44,"Hard",12994
2011,44,"Hard",12744
2010,44,"Hard",12883
2009,44,"Hard",12902
2008,44,"Hard",12884
2007,44,"Hard",12802
2006,44,"Hard",12508
2005,44,"Hard",12715
2004,44,"Hard",12804
2003,44,"Hard",12817
2002,44,"Hard",12856
2001,44,"Hard",12841
2000,44,"Hard",12875
1999,44,"Hard",12951
1998,44,"Hard",12871
1997,44,"Hard",12884
1996,44,"Hard",12937
1995,44,"Hard",12872
1994,44,"Hard",12816
1993,44,"Hard",12747
1992,44,"Hard",12405
1991,44,"Hard",12329
1990,44,"Hard",12211
1989,44,"Hard",12179
1988,44,"Hard",12199
1987,44,"Hard",12082
1986,44,"Hard",12144
1985,44,"Hard",12230
1984,44,"Hard",12372
1983,44,"Hard",12495
1982,44,"Hard",12474
1981,44,"Hard",12720
1980,44,"Hard",12820
1979,44,"Hard",12515
1978,44,"Hard",12555
1977,44,"Hard",12547
1976,44,"Hard",12664
1975,44,"Hard",11654
1974,44,"Hard",12118
1973,44,"Hard",12518
1972,44,"Hard",12802
1971,44,"Hard",13102
1970,44,"Hard",13345
2016,42,"Langstrasse",11145
2015,42,"Langstrasse",11169
2014,42,"Langstrasse",10985
2013,42,"Langstrasse",10686
2012,42,"Langstrasse",10560
2011,42,"Langstrasse",10520
2010,42,"Langstrasse",10379
2009,42,"Langstrasse",10392
2008,42,"Langstrasse",10455
2007,42,"Langstrasse",10310
2006,42,"Langstrasse",10332
2005,42,"Langstrasse",10368
2004,42,"Langstrasse",10319
2003,42,"Langstrasse",10304
2002,42,"Langstrasse",10447
2001,42,"Langstrasse",10276
2000,42,"Langstrasse",10237
1999,42,"Langstrasse",10370
1998,42,"Langstrasse",10399
1997,42,"Langstrasse",10480
1996,42,"Langstrasse",10718
1995,42,"Langstrasse",10952
1994,42,"Langstrasse",11183
1993,42,"Langstrasse",11505
1992,42,"Langstrasse",12046
1991,42,"Langstrasse",12126
1990,42,"Langstrasse",11763
1989,42,"Langstrasse",11617
1988,42,"Langstrasse",11671
1987,42,"Langstrasse",11539
1986,42,"Langstrasse",11484
1985,42,"Langstrasse",11288
1984,42,"Langstrasse",11402
1983,42,"Langstrasse",11650
1982,42,"Langstrasse",11630
1981,42,"Langstrasse",11848
1980,42,"Langstrasse",11949
1979,42,"Langstrasse",12043
1978,42,"Langstrasse",12161
1977,42,"Langstrasse",12360
1976,42,"Langstrasse",12559
1975,42,"Langstrasse",13157
1974,42,"Langstrasse",13553
1973,42,"Langstrasse",13841
1972,42,"Langstrasse",14437
1971,42,"Langstrasse",14571
1970,42,"Langstrasse",14879
2016,41,"Werd",4594
2015,41,"Werd",4460
2014,41,"Werd",4428
2013,41,"Werd",4188
2012,41,"Werd",4195
2011,41,"Werd",4189
2010,41,"Werd",4167
2009,41,"Werd",4104
2008,41,"Werd",4015
2007,41,"Werd",3944
2006,41,"Werd",3865
2005,41,"Werd",3878
2004,41,"Werd",3763
2003,41,"Werd",3788
2002,41,"Werd",3850
2001,41,"Werd",3838
2000,41,"Werd",3917
1999,41,"Werd",3966
1998,41,"Werd",3913
1997,41,"Werd",3928
1996,41,"Werd",3979
1995,41,"Werd",4005
1994,41,"Werd",4125
1993,41,"Werd",4048
1992,41,"Werd",3984
1991,41,"Werd",3884
1990,41,"Werd",3740
1989,41,"Werd",3749
1988,41,"Werd",3818
1987,41,"Werd",3805
1986,41,"Werd",3817
1985,41,"Werd",3843
1984,41,"Werd",3891
1983,41,"Werd",3904
1982,41,"Werd",3930
1981,41,"Werd",3916
1980,41,"Werd",3932
1979,41,"Werd",4004
1978,41,"Werd",4008
1977,41,"Werd",4068
1976,41,"Werd",4162
1975,41,"Werd",4250
1974,41,"Werd",4377
1973,41,"Werd",4547
1972,41,"Werd",4526
1971,41,"Werd",4558
1970,41,"Werd",4652
2016,34,"Sihlfeld",21177
2015,34,"Sihlfeld",21339
2014,34,"Sihlfeld",21195
2013,34,"Sihlfeld",20931
2012,34,"Sihlfeld",20831
2011,34,"Sihlfeld",20307
2010,34,"Sihlfeld",20115
2009,34,"Sihlfeld",20464
2008,34,"Sihlfeld",20543
2007,34,"Sihlfeld",20372
2006,34,"Sihlfeld",20314
2005,34,"Sihlfeld",20554
2004,34,"Sihlfeld",20567
2003,34,"Sihlfeld",20663
2002,34,"Sihlfeld",20731
2001,34,"Sihlfeld",20704
2000,34,"Sihlfeld",20887
1999,34,"Sihlfeld",20997
1998,34,"Sihlfeld",21018
1997,34,"Sihlfeld",21132
1996,34,"Sihlfeld",21233
1995,34,"Sihlfeld",21453
1994,34,"Sihlfeld",21569
1993,34,"Sihlfeld",21536
1992,34,"Sihlfeld",21406
1991,34,"Sihlfeld",21222
1990,34,"Sihlfeld",20726
1989,34,"Sihlfeld",20525
1988,34,"Sihlfeld",20673
1987,34,"Sihlfeld",20556
1986,34,"Sihlfeld",20736
1985,34,"Sihlfeld",20689
1984,34,"Sihlfeld",20995
1983,34,"Sihlfeld",21151
1982,34,"Sihlfeld",21580
1981,34,"Sihlfeld",21658
1980,34,"Sihlfeld",21775
1979,34,"Sihlfeld",21989
1978,34,"Sihlfeld",21905
1977,34,"Sihlfeld",22154
1976,34,"Sihlfeld",22414
1975,34,"Sihlfeld",23184
1974,34,"Sihlfeld",23570
1973,34,"Sihlfeld",24177
1972,34,"Sihlfeld",24937
1971,34,"Sihlfeld",25272
1970,34,"Sihlfeld",25686
2016,33,"Friesenberg",11002
2015,33,"Friesenberg",10698
2014,33,"Friesenberg",10695
2013,33,"Friesenberg",10696
2012,33,"Friesenberg",10986
2011,33,"Friesenberg",10622
2010,33,"Friesenberg",10596
2009,33,"Friesenberg",11003
2008,33,"Friesenberg",10325
2007,33,"Friesenberg",10296
2006,33,"Friesenberg",10342
2005,33,"Friesenberg",10360
2004,33,"Friesenberg",10326
2003,33,"Friesenberg",10387
2002,33,"Friesenberg",10188
2001,33,"Friesenberg",10042
2000,33,"Friesenberg",9972
1999,33,"Friesenberg",10013
1998,33,"Friesenberg",10029
1997,33,"Friesenberg",9991
1996,33,"Friesenberg",9993
1995,33,"Friesenberg",10155
1994,33,"Friesenberg",10213
1993,33,"Friesenberg",10167
1992,33,"Friesenberg",10039
1991,33,"Friesenberg",10126
1990,33,"Friesenberg",10037
1989,33,"Friesenberg",10066
1988,33,"Friesenberg",9969
1987,33,"Friesenberg",9955
1986,33,"Friesenberg",10008
1985,33,"Friesenberg",10111
1984,33,"Friesenberg",10182
1983,33,"Friesenberg",10233
1982,33,"Friesenberg",10309
1981,33,"Friesenberg",10416
1980,33,"Friesenberg",10455
1979,33,"Friesenberg",10680
1978,33,"Friesenberg",10777
1977,33,"Friesenberg",10782
1976,33,"Friesenberg",10909
1975,33,"Friesenberg",11107
1974,33,"Friesenberg",11332
1973,33,"Friesenberg",11430
1972,33,"Friesenberg",11165
1971,33,"Friesenberg",11408
1970,33,"Friesenberg",11263
2016,31,"Alt-Wiedikon",17321
2015,31,"Alt-Wiedikon",17158
2014,31,"Alt-Wiedikon",16918
2013,31,"Alt-Wiedikon",16706
2012,31,"Alt-Wiedikon",16109
2011,31,"Alt-Wiedikon",16014
2010,31,"Alt-Wiedikon",15988
2009,31,"Alt-Wiedikon",15504
2008,31,"Alt-Wiedikon",15727
2007,31,"Alt-Wiedikon",15440
2006,31,"Alt-Wiedikon",15231
2005,31,"Alt-Wiedikon",14971
2004,31,"Alt-Wiedikon",14551
2003,31,"Alt-Wiedikon",14459
2002,31,"Alt-Wiedikon",14811
2001,31,"Alt-Wiedikon",14692
2000,31,"Alt-Wiedikon",14789
1999,31,"Alt-Wiedikon",14889
1998,31,"Alt-Wiedikon",14975
1997,31,"Alt-Wiedikon",15000
1996,31,"Alt-Wiedikon",14869
1995,31,"Alt-Wiedikon",14719
1994,31,"Alt-Wiedikon",14803
1993,31,"Alt-Wiedikon",14637
1992,31,"Alt-Wiedikon",14454
1991,31,"Alt-Wiedikon",14194
1990,31,"Alt-Wiedikon",13679
1989,31,"Alt-Wiedikon",13535
1988,31,"Alt-Wiedikon",13338
1987,31,"Alt-Wiedikon",13160
1986,31,"Alt-Wiedikon",13350
1985,31,"Alt-Wiedikon",13376
1984,31,"Alt-Wiedikon",13680
1983,31,"Alt-Wiedikon",13661
1982,31,"Alt-Wiedikon",13800
1981,31,"Alt-Wiedikon",13689
1980,31,"Alt-Wiedikon",13920
1979,31,"Alt-Wiedikon",13866
1978,31,"Alt-Wiedikon",14138
1977,31,"Alt-Wiedikon",14305
1976,31,"Alt-Wiedikon",14593
1975,31,"Alt-Wiedikon",15035
1974,31,"Alt-Wiedikon",15273
1973,31,"Alt-Wiedikon",15272
1972,31,"Alt-Wiedikon",15572
1971,31,"Alt-Wiedikon",16027
1970,31,"Alt-Wiedikon",16386
2016,24,"Enge",9422
2015,24,"Enge",9257
2014,24,"Enge",9083
2013,24,"Enge",8836
2012,24,"Enge",8702
2011,24,"Enge",8684
2010,24,"Enge",8597
2009,24,"Enge",8668
2008,24,"Enge",8552
2007,24,"Enge",8473
2006,24,"Enge",8367
2005,24,"Enge",8375
2004,24,"Enge",8209
2003,24,"Enge",8228
2002,24,"Enge",8279
2001,24,"Enge",8102
2000,24,"Enge",8189
1999,24,"Enge",8134
1998,24,"Enge",8150
1997,24,"Enge",8164
1996,24,"Enge",8155
1995,24,"Enge",8174
1994,24,"Enge",8122
1993,24,"Enge",8125
1992,24,"Enge",7956
1991,24,"Enge",8008
1990,24,"Enge",8082
1989,24,"Enge",8171
1988,24,"Enge",8320
1987,24,"Enge",8365
1986,24,"Enge",8304
1985,24,"Enge",8403
1984,24,"Enge",8528
1983,24,"Enge",8581
1982,24,"Enge",8750
1981,24,"Enge",8971
1980,24,"Enge",9162
1979,24,"Enge",9119
1978,24,"Enge",9210
1977,24,"Enge",9178
1976,24,"Enge",9417
1975,24,"Enge",9672
1974,24,"Enge",9971
1973,24,"Enge",10343
1972,24,"Enge",10516
1971,24,"Enge",10882
1970,24,"Enge",11473
2016,23,"Leimbach",6173
2015,23,"Leimbach",6102
2014,23,"Leimbach",5936
2013,23,"Leimbach",5730
2012,23,"Leimbach",5354
2011,23,"Leimbach",5340
2010,23,"Leimbach",5293
2009,23,"Leimbach",5287
2008,23,"Leimbach",5185
2007,23,"Leimbach",5204
2006,23,"Leimbach",4944
2005,23,"Leimbach",4867
2004,23,"Leimbach",4778
2003,23,"Leimbach",4830
2002,23,"Leimbach",4681
2001,23,"Leimbach",4668
2000,23,"Leimbach",4644
1999,23,"Leimbach",4650
1998,23,"Leimbach",4619
1997,23,"Leimbach",4484
1996,23,"Leimbach",4553
1995,23,"Leimbach",4647
1994,23,"Leimbach",4598
1993,23,"Leimbach",4555
1992,23,"Leimbach",4567
1991,23,"Leimbach",4629
1990,23,"Leimbach",4586
1989,23,"Leimbach",4631
1988,23,"Leimbach",4695
1987,23,"Leimbach",4720
1986,23,"Leimbach",4783
1985,23,"Leimbach",4834
1984,23,"Leimbach",4905
1983,23,"Leimbach",4919
1982,23,"Leimbach",4977
1981,23,"Leimbach",4968
1980,23,"Leimbach",4635
1979,23,"Leimbach",4575
1978,23,"Leimbach",4604
1977,23,"Leimbach",4496
1976,23,"Leimbach",4273
1975,23,"Leimbach",4162
1974,23,"Leimbach",4085
1973,23,"Leimbach",3763
1972,23,"Leimbach",3752
1971,23,"Leimbach",3780
1970,23,"Leimbach",3859
2016,21,"Wollishofen",16567
2015,21,"Wollishofen",16244
2014,21,"Wollishofen",16137
2013,21,"Wollishofen",15937
2012,21,"Wollishofen",16029
2011,21,"Wollishofen",16055
2010,21,"Wollishofen",15988
2009,21,"Wollishofen",15854
2008,21,"Wollishofen",15794
2007,21,"Wollishofen",15744
2006,21,"Wollishofen",15587
2005,21,"Wollishofen",15592
2004,21,"Wollishofen",15499
2003,21,"Wollishofen",15468
2002,21,"Wollishofen",15771
2001,21,"Wollishofen",15928
2000,21,"Wollishofen",16102
1999,21,"Wollishofen",15896
1998,21,"Wollishofen",15826
1997,21,"Wollishofen",15820
1996,21,"Wollishofen",15844
1995,21,"Wollishofen",15918
1994,21,"Wollishofen",15902
1993,21,"Wollishofen",15927
1992,21,"Wollishofen",16008
1991,21,"Wollishofen",16201
1990,21,"Wollishofen",15798
1989,21,"Wollishofen",15804
1988,21,"Wollishofen",15926
1987,21,"Wollishofen",16063
1986,21,"Wollishofen",16008
1985,21,"Wollishofen",16146
1984,21,"Wollishofen",16332
1983,21,"Wollishofen",16502
1982,21,"Wollishofen",16761
1981,21,"Wollishofen",16668
1980,21,"Wollishofen",16708
1979,21,"Wollishofen",16913
1978,21,"Wollishofen",17099
1977,21,"Wollishofen",16971
1976,21,"Wollishofen",17134
1975,21,"Wollishofen",17345
1974,21,"Wollishofen",17650
1973,21,"Wollishofen",17819
1972,21,"Wollishofen",18293
1971,21,"Wollishofen",18046
1970,21,"Wollishofen",18372
2016,14,"City",810
2015,14,"City",805
2014,14,"City",791
2013,14,"City",783
2012,14,"City",799
2011,14,"City",779
2010,14,"City",835
2009,14,"City",853
2008,14,"City",843
2007,14,"City",876
2006,14,"City",845
2005,14,"City",846
2004,14,"City",843
2003,14,"City",886
2002,14,"City",910
2001,14,"City",907
2000,14,"City",929
1999,14,"City",967
1998,14,"City",1030
1997,14,"City",996
1996,14,"City",981
1995,14,"City",1007
1994,14,"City",845
1993,14,"City",884
1992,14,"City",744
1991,14,"City",777
1990,14,"City",827
1989,14,"City",801
1988,14,"City",824
1987,14,"City",822
1986,14,"City",800
1985,14,"City",779
1984,14,"City",891
1983,14,"City",902
1982,14,"City",956
1981,14,"City",1033
1980,14,"City",1104
1979,14,"City",929
1978,14,"City",910
1977,14,"City",949
1976,14,"City",977
1975,14,"City",1046
1974,14,"City",1132
1973,14,"City",1213
1972,14,"City",1384
1971,14,"City",1534
1970,14,"City",1820
2016,13,"Lindenhof",972
2015,13,"Lindenhof",974
2014,13,"Lindenhof",955
2013,13,"Lindenhof",923
2012,13,"Lindenhof",935
2011,13,"Lindenhof",950
2010,13,"Lindenhof",951
2009,13,"Lindenhof",940
2008,13,"Lindenhof",940
2007,13,"Lindenhof",954
2006,13,"Lindenhof",955
2005,13,"Lindenhof",950
2004,13,"Lindenhof",947
2003,13,"Lindenhof",942
2002,13,"Lindenhof",950
2001,13,"Lindenhof",948
2000,13,"Lindenhof",989
1999,13,"Lindenhof",1032
1998,13,"Lindenhof",995
1997,13,"Lindenhof",1025
1996,13,"Lindenhof",1044
1995,13,"Lindenhof",1096
1994,13,"Lindenhof",1087
1993,13,"Lindenhof",1136
1992,13,"Lindenhof",916
1991,13,"Lindenhof",933
1990,13,"Lindenhof",930
1989,13,"Lindenhof",937
1988,13,"Lindenhof",1011
1987,13,"Lindenhof",1013
1986,13,"Lindenhof",1005
1985,13,"Lindenhof",1084
1984,13,"Lindenhof",1114
1983,13,"Lindenhof",1178
1982,13,"Lindenhof",1259
1981,13,"Lindenhof",1304
1980,13,"Lindenhof",1331
1979,13,"Lindenhof",1404
1978,13,"Lindenhof",1490
1977,13,"Lindenhof",1451
1976,13,"Lindenhof",1463
1975,13,"Lindenhof",1541
1974,13,"Lindenhof",1679
1973,13,"Lindenhof",1738
1972,13,"Lindenhof",1847
1971,13,"Lindenhof",1956
1970,13,"Lindenhof",2075
2016,12,"Hochschulen",640
2015,12,"Hochschulen",641
2014,12,"Hochschulen",634
2013,12,"Hochschulen",665
2012,12,"Hochschulen",673
2011,12,"Hochschulen",681
2010,12,"Hochschulen",678
2009,12,"Hochschulen",673
2008,12,"Hochschulen",702
2007,12,"Hochschulen",698
2006,12,"Hochschulen",711
2005,12,"Hochschulen",695
2004,12,"Hochschulen",725
2003,12,"Hochschulen",723
2002,12,"Hochschulen",727
2001,12,"Hochschulen",738
2000,12,"Hochschulen",759
1999,12,"Hochschulen",769
1998,12,"Hochschulen",792
1997,12,"Hochschulen",762
1996,12,"Hochschulen",753
1995,12,"Hochschulen",782
1994,12,"Hochschulen",806
1993,12,"Hochschulen",808
1992,12,"Hochschulen",803
1991,12,"Hochschulen",791
1990,12,"Hochschulen",789
1989,12,"Hochschulen",756
1988,12,"Hochschulen",811
1987,12,"Hochschulen",838
1986,12,"Hochschulen",898
1985,12,"Hochschulen",952
1984,12,"Hochschulen",943
1983,12,"Hochschulen",975
1982,12,"Hochschulen",1020
1981,12,"Hochschulen",1003
1980,12,"Hochschulen",1034
1979,12,"Hochschulen",1035
1978,12,"Hochschulen",1084
1977,12,"Hochschulen",1084
1976,12,"Hochschulen",1113
1975,12,"Hochschulen",1184
1974,12,"Hochschulen",1211
1973,12,"Hochschulen",1277
1972,12,"Hochschulen",1319
1971,12,"Hochschulen",1349
1970,12,"Hochschulen",1459
2016,11,"Rathaus",3226
2015,11,"Rathaus",3197
2014,11,"Rathaus",3236
2013,11,"Rathaus",3194
2012,11,"Rathaus",3164
2011,11,"Rathaus",3140
2010,11,"Rathaus",3099
2009,11,"Rathaus",3110
2008,11,"Rathaus",3051
2007,11,"Rathaus",3079
2006,11,"Rathaus",3097
2005,11,"Rathaus",3081
2004,11,"Rathaus",3115
2003,11,"Rathaus",3149
2002,11,"Rathaus",3128
2001,11,"Rathaus",3103
2000,11,"Rathaus",3109
1999,11,"Rathaus",3104
1998,11,"Rathaus",3050
1997,11,"Rathaus",3083
1996,11,"Rathaus",3078
1995,11,"Rathaus",3049
1994,11,"Rathaus",3089
1993,11,"Rathaus",3133
1992,11,"Rathaus",3094
1991,11,"Rathaus",3173
1990,11,"Rathaus",3145
1989,11,"Rathaus",3161
1988,11,"Rathaus",3187
1987,11,"Rathaus",3218
1986,11,"Rathaus",3177
1985,11,"Rathaus",3181
1984,11,"Rathaus",3277
1983,11,"Rathaus",3304
1982,11,"Rathaus",3356
1981,11,"Rathaus",3501
1980,11,"Rathaus",3539
1979,11,"Rathaus",3551
1978,11,"Rathaus",3710
1977,11,"Rathaus",3802
1976,11,"Rathaus",3836
1975,11,"Rathaus",3980
1974,11,"Rathaus",4054
1973,11,"Rathaus",4297
1972,11,"Rathaus",4457
1971,11,"Rathaus",4572
1970,11,"Rathaus",4916
